,index,niveau,niveaunaam,gebiedcodenaam,wijkcode,jaar,Woonoppervlak_0_40,Woonoppervlak_40_60,Woonoppervlak_60_80,Woonoppervlak_80_100,Woonoppervlak_100_plus,Woonoppervlak_onbekend,VCRIMIN_I,Culturele_voorzieningen,Aanbod_basisscholen,Woningdichtheid,Eenouder_huishouden,Eenpersoons_huishouden,Stel_zonder_kind_huishouden,Stel_met_kind_huishouden,overige_huishouden,Corporatiewoningen,Particuliere_huur,Koopwoninging,WOZ_per_M2,index,wijkcode,lon,lat
60,4277,4,Wijk,MC Oosterparkbuurt,MC,2021,"10,3","36,1","28,4","15,3","9,6","0,4",,"6,9","7,4",8626.0,"7,3","58,7","21,3","11,7",1,"56,2","19,7","24,1",6250.0,29,MC,4.9175089,52.35904
61,4278,4,Wijk,MD Transvaalbuurt,MD,2021,"4,7","38,2","34,3","15,3","7,5",0,,"6,4","7,4",12802.0,"9,5","52,4","21,8","14,8","1,5","58,7","18,5","22,9",6061.0,30,MD,4.9213968,52.35394625
62,4279,4,Wijk,ME Dapperbuurt,ME,2021,"14,6","25,8","33,3","14,8","11,4","0,2",,7,"7,4",9332.0,"7,6","58,3","20,4","12,7","1,1","56,3","18,7","24,9",6127.0,74,ME,4.9298721,52.36095465
63,4280,4,Wijk,MF Indische Buurt-West,MF,2021,"7,7","41,6","27,7","15,1","7,6","0,3",,"6,9","7,4",14330.0,"8,2","53,7","22,6","14,2","1,3","53,7",20,"26,4",5898.0,31,MF,4.9360817,52.3621942
64,4281,4,Wijk,MG Indische Buurt-Oost,MG,2021,5,33,"30,7","24,3",7,0,,"6,4","7,3",5488.0,"9,1","53,3","20,6","15,9","1,1","65,4","13,6",21,5555.0,32,MG,4.95038715,52.363115
65,4282,4,Wijk,MH Zeeburgereiland/Bovendiep,MH,2021,"31,4","9,1","31,2","14,9","12,3",1,,"3,2","6,6",1218.0,"7,1","57,4","22,5","11,9",1,"37,1","43,6","19,3",4264.0,33,MH,4.9826381,52.36209375
66,4283,4,Wijk,MJ IJburg-West,MJ,2021,4,"5,1","9,4","29,1","52,4",0,,"4,7","7,8",5644.0,"13,3","33,3","18,4","34,3","0,7","31,4","22,7",46,4399.0,34,MJ,4.98973895,52.35968475
67,4285,4,Wijk,ML IJburg-Zuid,ML,2021,"3,6","3,2","8,8","35,8","48,7",0,,"4,7","8,2",4765.0,"13,9",33,"14,7","37,8","0,7","33,3","22,4","44,3",4509.0,36,ML,5.00638825,52.3497225
68,4286,4,Wijk,MM Frankendael,MM,2021,"22,7","30,1","22,1","12,3","12,8","0,1",,"5,9","7,2",3957.0,"7,2","61,6","18,4","12,3","0,6","49,4","34,2","16,4",5837.0,37,MM,4.92620945,52.34757445
69,4287,4,Wijk,MN Middenmeer,MN,2021,"20,9","5,2","24,5","21,6","27,7","0,1",,"6,1","7,7",2924.0,"5,8","50,6","22,5","19,7","1,4","32,7","30,8","36,4",5762.0,38,MN,4.94897385,52.3496457
70,4288,4,Wijk,MP Betondorp,MP,2021,"7,7",34,49,"6,5","2,9",0,,"4,5","4,7",1840.0,"10,9","57,9","19,6","11,1","0,5","79,5","3,7","16,8",5664.0,39,MP,4.93993925,52.3421535
71,4289,4,Wijk,MQ Omval/Overamstel,MQ,2021,"53,1","10,9","11,3","11,9","12,9",0,,"4,7","6,7",1441.0,"1,9","63,8","25,4","8,4","0,5","2,7",83,"14,3",6670.0,40,MQ,4.91891395,52.33237885
72,4290,4,Wijk,NB Noordelijke IJ-oevers-West,NB,2021,29,"23,7","13,7","15,2","18,3","0,1",,"6,3","6,3",1311.0,"3,3","62,8","22,1","11,4","0,4","20,5","61,2","18,3",4749.0,50,NB,4.88828365,52.40021275
73,4291,4,Wijk,NC Tuindorp Oostzaan,NC,2021,"6,1","29,6","33,5","15,1","15,7",0,,"5,2","7,2",3435.0,"11,8","42,8","20,9","23,8","0,7",64,"4,3","31,7",4328.0,51,NC,4.89119195,52.41028075
74,4292,4,Wijk,ND Kadoelen,ND,2021,"1,1","6,9","26,1","32,9",33,0,,"4,9","7,2",1023.0,"10,2","25,9","25,8","37,5","0,6","30,8","4,4","64,8",4683.0,52,ND,4.90915285,52.4161941
75,4293,4,Wijk,NE Banne Buiksloot,NE,2021,"1,7","15,7","34,7","32,4","15,2","0,3",,"5,1","7,3",3809.0,"12,1","43,7","19,3","23,9",1,"60,9","9,3","29,8",3646.0,53,NE,4.9165661,52.4079328
76,4294,4,Wijk,NF Nieuwendammerdijk/Buiksloterdijk,NF,2021,"2,1",6,"17,1","21,7","52,2","0,8",,"5,9","7,5",1791.0,"5,8",24,"29,2",40,"0,9",,"8,6","91,1",5496.0,54,NF,4.93357905,52.39356785
77,4295,4,Wijk,NG Elzenhagen,NG,2021,"28,6","5,8","15,1","11,6","38,9",0,,"4,8","7,3",2440.0,"5,7","50,5","15,3","28,1","0,4",51,"15,6","33,4",3460.0,55,NG,4.9307624,52.40331505
78,4296,4,Wijk,NH Buikslotermeer,NH,2021,"1,5","14,8","43,3","30,8","9,3","0,3",,"5,6","7,3",3613.0,"9,9","53,8","20,8","14,1","1,4",59,"11,5","29,5",3491.0,56,NH,4.9381749,52.40017325
79,4297,4,Wijk,NJ Waterlandpleinbuurt,NJ,2021,"3,3","12,8","47,4","21,6","14,4","0,4",,"4,9","7,4",4121.0,14,"43,2","18,5","23,3",1,"50,8",18,"31,3",3680.0,57,NJ,4.95389985,52.39455385
80,4298,4,Wijk,NK Volewijck,NK,2021,"5,6","45,8","31,2","13,2","4,2","0,1",,"5,9","7,1",4149.0,"14,4","50,5","17,1","17,2","0,9","79,6","7,2","13,2",4589.0,58,NK,4.9111678,52.39107185
81,4299,4,Wijk,NL IJplein/Vogelbuurt,NL,2021,"7,1","35,4",27,"22,9","7,5","0,1",,"5,9","6,9",3544.0,"11,4",54,"18,5",15,"1,1","72,5","8,3","19,2",4812.0,59,NL,4.92086315,52.38946545
82,4300,4,Wijk,NM Tuindorp Buiksloot,NM,2021,"4,3","43,3","45,1","4,5","2,9",0,,"5,6","7,2",5412.0,"15,4","42,6","21,4","19,2","1,4","79,7","1,9","18,4",4918.0,60,NM,4.92907435,52.3932217
83,4301,4,Wijk,NN Tuindorp Nieuwendam,NN,2021,"5,8",60,"28,9","3,7","1,6","0,1",,"5,1","6,9",4319.0,"12,8","46,8","22,4","17,8","0,3","78,3","1,6","20,1",5399.0,61,NN,4.94372485,52.39066235
84,4302,4,Wijk,NP Noordelijke IJ-oevers-Oost,NP,2021,"60,9","1,5","12,2","10,7","14,2","0,5",,,,287.0,"1,8","68,4","23,4","5,3","1,2",,"87,8","12,2",5556.0,62,NP,4.9356245,52.38420895
85,4303,4,Wijk,NQ Waterland,NQ,2021,"3,5","9,7","17,9","17,5","50,5","0,9",,"3,8","6,8",37.0,"7,1","34,7","25,3","32,1","0,8","3,9","18,3","77,8",5971.0,63,NQ,5.0044116,52.39749585
